lat,lon,name
-7.3385,-40.563,Caldeirao
-4.65,-81.22,Wayra
-23.7649,-69.9342,Llanos
-5.9,-36.2,NE01b
20.3453,-100.346,SanPedro
17.8638,-71.4287,Pedernales
21.09,-88.751,Chacabal2
19.7878,-70.7617,Jasper
-7.41671,-40.683,NE05
-7.42849,-39.2073,Quadran
-14,-42.7,BA04a
-10.964,-41.233,Babilonia
-39.98,-73.03,Caman
24.5912,-99.3056,G0414
-3.22156,-39.3289,Santos
18.3707,-70.7337,LaVigia
-8.8,-36.7,NE00
-3.81696,-41.1774,C4
-7.55331,-40.7255,Araripe
-10.97,-42.53,ItaguacuNorte
-3.3,-42,NE06b
-10.657,-42.535,Esplanada
-8.5,-35.7,Itapora
-41.0383,-73.0187,PuelcheSur
-7.84,-38.05,ItaporaPE
-2.82,-41.57,Omega
-4.1,-38.45,NE03b
-3.6,-39.3,NE04a
-3.22156,-39.3289,Embuaca
-22.1245,-68.5774,Ckani
-14.0855,-42.6109,ASII_North
-6.8,-36.6,NE01a
-5.3,-35.6,NE02a
-21.5,-41,Omega_RJ
-4.7,-37.4,NE03a
-30.694,-51.4623,CapaoAlto
-5.29,-35.54,EsquinaDoVento
-5.77,-35.92,RioDoVentoII
-10.3471,-41.5319,Umburanas
-7.41671,-40.683,ChapadaAraripe
-9.82348,-40.7376,SerraVerde
-30.8,-55.5,RS03b
-30.3,-50.8,RS01a
-3.27836,-39.3335,Serrote
-10,-41.8,BA01
-15.23,-75.05,Marcona
-10.5047,-40.4902,FolhaLarga
-10.8,-41.8,BA02a
-3.02639,-39.6273,Icarai
30.7028,35.6894,Tafila
-11.8,-42,BA02b
-9.8436,-41.1912,SentoSe
-4.97483,-36.9117,Mterra_Bvista
-3.3,-40.2,NE04b
-33.1,-53,RS02b
-3.3,-41.2,NE06a
-5.3,-36.6,NE02b
11.8581,-72.1228,LaGuajira
-5.35424,-36.0009,AsaBranca
-11.4282,-42.1569,Ibipeba
-5.37,-36.49,AfonsoBezerra
-11.2601,-38.7999,Tucano
